Membership: Membership Type,Industry,Position,Job Function,Person Account: Mailing Country,Age
Established,Educational Institution,Professor,Nuclear Engineer,Japan,46
Established,Educational Institution,Professor,Nuclear Engineer,Japan,46
Established,Educational Institution,Professor,Educator,United States,46
Established,Educational Institution,Professor,Educator,United States,46
Established,Government Agency,Chief/Senior Engineer,Nuclear Engineer,United States,46
Established,Engineering Firm,Director/Department Head,Nuclear Engineer,United States,46
Established,National Laboratory,Engineer,Nuclear Engineer,United States,46
Established,National Laboratory,Engineer,Nuclear Engineer,United States,46
Established,National Laboratory,Engineer,Nuclear Engineer,United States,46
Established,National Laboratory,Manager,Nuclear Engineer,United States,46
Established,Educational Institution,Professor,Nuclear Engineer,United States,46
Established,National Laboratory,Engineer,Other Engineer,United States,46
Established,Educational Institution,Professor,Nuclear Engineer,Canada,47
Established,National Laboratory,Professor,Nuclear Engineer,Finland,47
Established,Utility,Engineer,Nuclear Engineer,France,47
Established,Private Research/Test Lab,Research Assistant,Scientist,Germany,47
Graduate Student,Student,Student,Student,South Africa,47
Established,Engineering Firm,Engineer,Chemist,United States,47
Established,National Laboratory,Analyst,Nuclear Engineer,United States,47
Established,Utility,Engineer,Nuclear Engineer,United States,47
Established,Other,Professor,Nuclear Engineer,United States,47
Established,Educational Institution,Other,Scientist,United States,47
Established,Manufacturer,Supervisor,Manufacturing,United States,48
Established,National Laboratory,Chief/Senior Engineer,Nuclear Engineer,United States,48
Established,Private Research/Test Lab,Engineer,Nuclear Engineer,United States,48
Established,National Laboratory,Manager,Nuclear Engineer,United States,48
Established,National Laboratory,Manager,Nuclear Engineer,United States,48
Established,Medical Institution,Professor,Scientist,United States,48
Established,Other,Chief/Senior Engineer,Technician,United States,48
Established,Educational Institution,Professor,Scientist,Israel,49
Established,National Laboratory,Engineer,Nuclear Engineer,United States,49
Established,National Laboratory,Engineer,Nuclear Engineer,United States,49
Lifetime,Educational Institution,Professor,Nuclear Engineer,United States,49
Established,Government Agency,Project Manager,Nuclear Engineer,United States,49
Established,National Laboratory,Project Manager,Scientist,United States,49
Established,National Laboratory,,Scientist,United States,49
Established,Educational Institution,Professor,Educator,China,50
Established,Educational Institution,Professor,Educator,Sweden,50
Established,Educational Institution,Professor,Nuclear Engineer,United Kingdom,50
Established,Engineering Firm,President/CEO,General/Corporate Management,United States,50
Established,National Laboratory,Chief/Senior Engineer,Nuclear Engineer,United States,50
Established,National Laboratory,Chief/Senior Engineer,Nuclear Engineer,United States,50
Established,National Laboratory,Engineer,Nuclear Engineer,United States,50
Lifetime,National Laboratory,Engineer,Scientist,United States,50
Established,National Laboratory,Engineer,Scientist,United States,50
Established,Manufacturer,President/CEO,General/Corporate Management,Denmark,51
Established,Government Agency,Engineer,Scientist,France,51
Established,Educational Institution,Professor,Nuclear Engineer,South Korea,51
Established,Private Research/Test Lab,Project Manager,Chemical Engineer,United States,51
Established,Active Military,Professor,Educator,United States,51
Established,Educational Institution,Professor,Educator,United States,51
Established,Educational Institution,Professor,Educator,United States,51
Established,Consulting Firm,Chief/Senior Engineer,Nuclear Engineer,United States,51
Established,National Laboratory,Engineer,Nuclear Engineer,United States,51
Established,National Laboratory,Engineer,Nuclear Engineer,United States,51
Established,Educational Institution,Professor,Nuclear Engineer,United States,51
Lifetime,Consulting Firm,President/CEO,Other,United States,51
